,mid,premiership,att,win_loc,season,h_prevladder_score,a_prevladder_score,margins_prev_match1,margins_prev_match2,margins_prev_match3,margins_prev_match4,margins_prev_match5,home_team,away_team,home_odds,away_odds,date
65,2009_R21_105_106,0,32413,1,2009,24,32,-38.0,-4.0,63.0,-10.0,37.0,Fremantle,Essendon,1.84,1.87,2009-08-23
66,2009_R22_114_117,0,39755,1,2009,16,46,-15.0,-77.0,31.0,23.0,88.0,West Coast,Richmond,1.21,4.27,2009-08-28
67,2009_R22_106_107,0,18196,1,2009,84,24,19.0,74.0,1.0,68.0,25.0,Geelong,Fremantle,1.05,9.0,2009-08-29
68,2009_R22_105_110,0,77278,0,2009,68,32,-44.0,51.0,63.0,35.0,18.0,Hawthorn,Essendon,2.03,1.71,2009-08-29
69,2009_R22_101_103,0,42356,0,2009,40,52,-44.0,-8.0,-30.0,-19.0,-64.0,Carlton,Adelaide,1.81,1.93,2009-08-29
70,2009_R22_112_113,0,17284,0,2009,28,50,-5.0,76.0,-2.0,87.0,18.0,Port Adelaide,North Melbourne,1.38,2.94,2009-08-29
71,2009_R22_111_115,0,36748,0,2009,12,52,-37.0,-79.0,-31.0,18.0,13.0,Melbourne,St Kilda,12.0,1.02,2009-08-30
72,2009_R22_104_118,0,48888,0,2009,48,62,1.0,-10.0,-33.0,-41.0,34.0,Collingwood,Western Bulldogs,1.71,2.08,2009-08-30
73,2009_EF_101_105,1,50393,1,2009,52,32,16.0,56.0,5.0,-12.0,-31.0,Adelaide,Essendon,1.1,6.5,2009-09-04
74,2009_QF_107_118,1,74007,1,2009,84,62,-14.0,2.0,29.0,61.0,75.0,Geelong,Western Bulldogs,1.83,1.93,2009-09-05
75,2009_QF_104_115,1,84213,1,2009,52,48,88.0,34.0,-14.0,-9.0,-9.0,St Kilda,Collingwood,1.6,2.25,2009-09-06
76,2009_SF_101_104,1,62184,1,2009,48,52,21.0,-4.0,31.0,32.0,-19.0,Collingwood,Adelaide,2.18,1.66,2009-09-12
77,2009_PF_115_118,1,78245,1,2009,52,62,45.0,28.0,-27.0,-38.0,0.0,St Kilda,Western Bulldogs,1.36,3.05,2009-09-18
78,2009_PF_104_107,1,87258,1,2009,84,48,27.0,-86.0,5.0,16.0,-102.0,Geelong,Collingwood,1.34,3.18,2009-09-19
79,2009_GF_107_115,1,99251,0,2009,52,84,6.0,-58.0,-42.0,-60.0,23.0,St Kilda,Geelong,2.2,1.63,2009-09-26
80,2010_R01_103_114,0,72010,0,2010,22,52,-20.0,-83.0,-30.0,30.0,-17.0,Richmond,Carlton,2.88,1.42,2010-03-25
81,2010_R01_105_107,0,57772,1,2010,72,42,64.0,99.0,50.0,42.0,-13.0,Geelong,Essendon,1.21,4.28,2010-03-26
82,2010_R01_110_111,0,45615,0,2010,16,36,-22.0,-19.0,-104.0,-22.0,75.0,Melbourne,Hawthorn,4.42,1.2,2010-03-27
83,2010_R01_115_116,0,31330,0,2010,32,80,-1.0,-15.0,35.0,-2.0,17.0,Sydney,St Kilda,2.44,1.53,2010-03-27
84,2010_R01_112_113,0,21205,1,2010,36,30,-4.0,-5.0,76.0,-2.0,87.0,Port Adelaide,North Melbourne,1.41,2.83,2010-03-28
85,2010_R01_104_118,0,49000,0,2010,60,60,24.0,-1.0,10.0,33.0,41.0,Western Bulldogs,Collingwood,1.62,2.25,2010-03-28
86,2010_R01_101_106,0,30976,1,2010,24,56,-117.0,-24.0,-17.0,25.0,1.0,Fremantle,Adelaide,1.94,1.8,2010-03-28
87,2010_R02_104_111,0,50421,1,2010,60,16,66.0,53.0,21.0,11.0,-13.0,Collingwood,Melbourne,1.05,10.33,2010-04-03
88,2010_R02_113_117,0,37010,0,2010,32,36,-36.0,50.0,-24.0,-3.0,-91.0,West Coast,Port Adelaide,1.58,2.31,2010-04-03
89,2010_R02_112_115,0,32006,1,2010,80,30,-5.0,46.0,15.0,-22.0,17.0,St Kilda,North Melbourne,1.13,5.58,2010-04-03
90,2010_R02_101_116,0,36041,0,2010,56,32,16.0,24.0,17.0,39.0,7.0,Adelaide,Sydney,1.54,2.42,2010-04-04
91,2010_R02_105_106,0,29651,0,2010,42,24,-54.0,38.0,4.0,-63.0,10.0,Essendon,Fremantle,1.46,2.66,2010-04-04
92,2010_R02_114_118,0,27358,0,2010,22,60,-68.0,-47.0,0.0,-32.0,-22.0,Richmond,Western Bulldogs,10.0,1.06,2010-04-04
93,2010_R02_107_110,0,68628,0,2010,36,72,-1.0,-8.0,26.0,-11.0,4.0,Hawthorn,Geelong,2.4,1.56,2010-04-05
94,2010_R03_104_115,0,49669,1,2010,80,60,28.0,88.0,34.0,-14.0,-9.0,St Kilda,Collingwood,1.32,3.3,2010-04-09
95,2010_R03_112_117,0,18394,1,2010,30,32,-38.0,6.0,-17.0,-66.0,-26.0,North Melbourne,West Coast,1.85,1.91,2010-04-10
96,2010_R03_103_105,0,71006,0,2010,52,42,-69.0,-4.0,-35.0,-16.0,-10.0,Carlton,Essendon,1.45,2.7,2010-04-10
97,2010_R03_114_116,0,28414,1,2010,32,22,55.0,19.0,82.0,66.0,16.0,Sydney,Richmond,1.1,7.0,2010-04-10
98,2010_R03_101_111,0,23335,1,2010,16,56,-17.0,-76.0,17.0,-58.0,-5.0,Melbourne,Adelaide,2.6,1.49,2010-04-11
99,2010_R03_110_118,0,35933,1,2010,60,36,88.0,-51.0,32.0,-84.0,17.0,Western Bulldogs,Hawthorn,1.47,2.63,2010-04-11
100,2010_R03_106_107,0,38762,1,2010,24,72,-40.0,-19.0,-74.0,-1.0,-68.0,Fremantle,Geelong,2.05,1.72,2010-04-11
101,2010_R04_105_117,0,38676,1,2010,32,42,27.0,10.0,-22.0,8.0,-1.0,West Coast,Essendon,1.58,2.32,2010-04-16
102,2010_R04_112_116,0,23646,0,2010,30,32,-15.0,-35.0,0.0,16.0,-7.0,North Melbourne,Sydney,2.57,1.48,2010-04-17
103,2010_R04_101_103,0,38321,0,2010,56,52,72.0,44.0,8.0,30.0,19.0,Adelaide,Carlton,1.77,1.97,2010-04-17
104,2010_R04_104_110,0,67668,1,2010,60,36,-45.0,-54.0,-65.0,-8.0,45.0,Collingwood,Hawthorn,1.59,2.31,2010-04-17
105,2010_R04_111_114,0,42594,0,2010,22,16,4.0,-8.0,80.0,22.0,49.0,Richmond,Melbourne,3.35,1.31,2010-04-18
106,2010_R04_107_113,0,25539,1,2010,72,36,34.0,59.0,9.0,119.0,-5.0,Geelong,Port Adelaide,1.13,5.7,2010-04-18
107,2010_R04_106_115,0,29814,1,2010,80,24,83.0,43.0,8.0,30.0,-46.0,St Kilda,Fremantle,1.31,3.31,2010-04-18
108,2010_R05_101_118,0,26884,1,2010,60,56,32.0,-9.0,3.0,-34.0,-38.0,Western Bulldogs,Adelaide,1.1,6.3,2010-04-23
109,2010_R05_116_117,0,28422,1,2010,32,32,5.0,5.0,62.0,-12.0,-1.0,Sydney,West Coast,1.15,4.91,2010-04-24
110,2010_R05_113_115,0,23355,1,2010,36,80,-66.0,-8.0,21.0,53.0,-4.0,Port Adelaide,St Kilda,3.55,1.28,2010-04-24
111,2010_R05_104_105,0,90070,1,2010,60,42,35.0,-5.0,-48.0,73.0,29.0,Collingwood,Essendon,1.27,3.6,2010-04-25
112,2010_R05_110_112,0,16301,0,2010,36,30,9.0,54.0,-27.0,16.0,-33.0,Hawthorn,North Melbourne,1.32,3.28,2010-04-25
113,2010_R05_106_114,0,38010,1,2010,24,22,-3.0,-7.0,-64.0,21.0,11.0,Fremantle,Richmond,1.04,10.5,2010-04-25
114,2010_R05_103_107,0,71399,1,2010,52,72,35.0,-56.0,-78.0,-65.0,-70.0,Carlton,Geelong,4.38,1.19,2010-04-26
115,2010_R06_115_118,0,43072,0,2010,60,80,-7.0,-45.0,-28.0,27.0,38.0,Western Bulldogs,St Kilda,1.67,2.13,2010-04-30
116,2010_R06_111_112,0,26763,1,2010,30,16,62.0,34.0,28.0,48.0,64.0,North Melbourne,Melbourne,1.99,1.75,2010-05-01
117,2010_R06_101_113,0,40371,0,2010,56,36,70.0,-26.0,-12.0,6.0,8.0,Adelaide,Port Adelaide,2.42,1.53,2010-05-01
118,2010_R06_105_110,0,61006,1,2010,42,36,17.0,44.0,-51.0,-63.0,-35.0,Essendon,Hawthorn,2.58,1.47,2010-05-01
119,2010_R06_107_114,0,24106,1,2010,72,22,20.0,63.0,30.0,70.0,157.0,Geelong,Richmond,1.03,12.25,2010-05-02
120,2010_R06_103_104,0,80645,0,2010,52,60,-54.0,51.0,30.0,23.0,-24.0,Carlton,Collingwood,2.44,1.52,2010-05-02
121,2010_R06_106_117,0,40886,0,2010,32,24,-5.0,-13.0,-33.0,-14.0,-27.0,West Coast,Fremantle,2.84,1.4,2010-05-02
122,2010_R07_111_118,0,45444,0,2010,16,60,-7.0,-31.0,-95.0,42.0,-6.0,Melbourne,Western Bulldogs,4.05,1.23,2010-05-07
123,2010_R07_110_117,0,35864,1,2010,32,36,20.0,-18.0,-71.0,-57.0,-35.0,West Coast,Hawthorn,1.6,2.3,2010-05-08
124,2010_R07_105_113,0,29248,0,2010,42,36,-41.0,-64.0,-31.0,-60.0,-19.0,Essendon,Port Adelaide,1.74,2.0,2010-05-08
125,2010_R07_104_112,0,52696,1,2010,60,30,52.0,-18.0,-7.0,3.0,68.0,Collingwood,North Melbourne,1.19,4.55,2010-05-08
126,2010_R07_107_116,0,25970,1,2010,72,32,5.0,51.0,39.0,42.0,18.0,Geelong,Sydney,1.27,3.71,2010-05-09
127,2010_R07_101_114,0,31196,1,2010,56,22,17.0,63.0,50.0,9.0,-3.0,Adelaide,Richmond,1.19,4.54,2010-05-09
128,2010_R07_103_115,0,42866,0,2010,80,52,9.0,32.0,40.0,10.0,43.0,St Kilda,Carlton,1.43,2.77,2010-05-10
129,2010_R08_104_106,0,41624,0,2010,24,60,-84.0,24.0,-26.0,-9.0,15.0,Fremantle,Collingwood,2.0,1.76,2010-05-14
130,2010_R08_116_118,0,14308,1,2010,60,32,40.0,37.0,16.0,18.0,-43.0,Western Bulldogs,Sydney,1.56,2.35,2010-05-15
131,2010_R08_111_117,0,28592,0,2010,16,32,20.0,-8.0,34.0,-77.0,-22.0,Melbourne,West Coast,1.35,3.09,2010-05-15
132,2010_R08_101_112,0,16479,1,2010,30,56,-44.0,-33.0,-46.0,-72.0,-56.0,North Melbourne,Adelaide,1.61,2.24,2010-05-15
133,2010_R08_110_114,0,41563,0,2010,22,36,-42.0,29.0,-12.0,-53.0,-41.0,Richmond,Hawthorn,4.94,1.16,2010-05-16
134,2010_R08_103_113,0,30228,0,2010,36,52,-54.0,-66.0,-12.0,23.0,-39.0,Port Adelaide,Carlton,1.82,1.92,2010-05-16
135,2010_R08_105_115,0,39204,0,2010,80,42,-2.0,19.0,108.0,36.0,-31.0,St Kilda,Essendon,1.4,2.81,2010-05-16
136,2010_R09_104_107,0,88115,0,2010,60,72,-73.0,-27.0,86.0,-5.0,-16.0,Collingwood,Geelong,1.95,1.78,2010-05-21
137,2010_R09_112_118,0,30794,0,2010,30,60,-22.0,-15.0,20.0,3.0,64.0,North Melbourne,Western Bulldogs,4.21,1.22,2010-05-22
138,2010_R09_106_116,0,24819,0,2010,32,24,-21.0,4.0,28.0,35.0,33.0,Sydney,Fremantle,1.68,2.13,2010-05-22
139,2010_R09_111_113,0,8848,1,2010,16,36,11.0,-57.0,-78.0,-89.0,-5.0,Melbourne,Port Adelaide,2.32,1.57,2010-05-22
140,2010_R09_105_114,0,64709,1,2010,42,22,-5.0,40.0,-4.0,-38.0,-27.0,Essendon,Richmond,1.26,3.81,2010-05-22
141,2010_R09_103_110,0,47484,0,2010,52,36,-4.0,-78.0,-100.0,-23.0,-32.0,Carlton,Hawthorn,1.35,3.1,2010-05-23
142,2010_R09_115_117,0,36244,0,2010,32,80,-20.0,-97.0,17.0,8.0,-23.0,West Coast,St Kilda,1.99,1.75,2010-05-23
143,2010_R10_105_118,0,45742,1,2010,42,60,-33.0,-46.0,-30.0,-33.0,-22.0,Essendon,Western Bulldogs,3.2,1.33,2010-05-28
